Upper_Node,Bottom_Node,Pipe_Length,Pipe_Diameter,Qrush,Qmax
1,2,40.8,66,0.0016,0.0032
2,3,49.2,79,0.0027,0.0054
3,5,28.7,83,0.003,0.006
4,5,50.7,58,0.0012,0.0024
5,6,33.1,100,0.0046,0.0092
6,8,32.7,101,0.0054,0.0108
7,8,53.1,54,0.0008,0.0016
8,20,20.8,118,0.0064,0.0128
9,10,34.5,68,0.0017,0.0034
10,11,40.8,82,0.0028,0.0056
11,12,35.4,89,0.0035,0.007
12,14,46.4,96,0.0044,0.0088
13,14,43.6,53,0.0008,0.0016
14,17,31,95,0.0054,0.0108
15,16,38.7,44,0.0004,0.0008
16,17,7.2,40,0.0005,0.001
17,19,12.7,95,0.0059,0.0118
18,19,42,39,0.0006,0.0012
19,21,44.35,123,0.0072,0.0144
20,21,31.15,126,0.0066,0.0132
21,40,34.9,161,0.014,0.028
22,23,63.5,65,0.002,0.004
23,24,36.4,88,0.0026,0.0052
24,26,34,87,0.0031,0.0062
25,26,61.7,59,0.0011,0.0022
26,27,34.7,91,0.0049,0.0098
27,32,34.5,114,0.0056,0.0112
28,31,26.8,25,0.0002,0.0004
29,31,41.35,56,0.001,0.002
30,31,34.65,49,0.0005,0.001
31,32,38.6,65,0.0022,0.0044
32,33,46.3,129,0.0084,0.0168
33,60,60.7,121,0.0096,0.0192
34,36,60.33,59,0.0012,0.0024
35,36,17.7,35,0.0003,0.0006
36,37,29.83,63,0.0018,0.0036
37,39,0.41,63,0.0018,0.0036
38,39,22.5,33,0.0003,0.0006
39,40,52.48,83,0.003,0.006
40,46,36.6,110,0.0172,0.0344
41,42,56.5,60,0.0013,0.0026
42,45,32.75,70,0.0017,0.0034
43,45,24.1,33,0.0004,0.0008
44,45,27.8,35,0.0004,0.0008
45,46,54.45,101,0.0033,0.0066
46,51,38.9,181,0.0207,0.0414
47,48,44.2,53,0.0009,0.0018
48,50,33.5,61,0.0013,0.0026
49,50,18.1,29,0.0003,0.0006
50,51,52.5,76,0.0025,0.005
51,56,35.1,211,0.0234,0.0468
52,53,54.25,54,0.0012,0.0024
53,54,5.85,67,0.0012,0.0024
54,55,26.95,68,0.0015,0.003
55,56,51.95,78,0.0025,0.005
56,65,6.75,198,0.0259,0.0518
57,60,34.3,54,0.0006,0.0012
58,59,34.85,59,0.0009,0.0018
59,60,33.15,77,0.0016,0.0032
60,64,28.5,152,0.0122,0.0244
61,64,32.1,44,0.0007,0.0014
62,63,35.4,60,0.0011,0.0022
63,64,27.6,65,0.0016,0.0032
64,66,54.4,150,0.0152,0.0304
65,66,38.5,198,0.0261,0.0522
66,67,41.2,235,0.0419,0.0838
67,72,37.9,233,0.0424,0.0848
68,69,61.7,48,0.002,0.004
69,70,24.45,64,0.0021,0.0042
70,71,44,73,0.0025,0.005
71,72,6.5,73,0.0025,0.005
72,73,30.6,264,0.0449,0.0898
73,74,33.6,269,0.0449,0.0898
74,77,37.6,187,0.0449,0.0898
75,76,52.7,62,0.0019,0.0038
76,77,52.3,65,0.0023,0.0046
77,78,29.6,275,0.0474,0.0948
